game_year,balls,strikes,pa_wOBA
2020,0,0,0.326572559
2020,0,1,0.276709128
2020,0,2,0.208513201
2020,1,0,0.369549088
2020,1,1,0.306161193
2020,1,2,0.232644405
2020,2,0,0.441098907
2020,2,1,0.361939718
2020,2,2,0.274685687
2020,3,0,0.567843575
2020,3,1,0.487221741
2020,3,2,0.375322926
2021,0,0,0.319634662
2021,0,1,0.270978706
2021,0,2,0.202214164
2021,1,0,0.361417533
2021,1,1,0.306380408
2021,1,2,0.228991548
2021,2,0,0.432582132
2021,2,1,0.362803049
2021,2,2,0.276386572
2021,3,0,0.542849883
2021,3,1,0.482325264
2021,3,2,0.386277531
2022,0,0,0.311498698
2022,0,1,0.264131347
2022,0,2,0.196554441
2022,1,0,0.352699815
2022,1,1,0.295843893
2022,1,2,0.223028914
2022,2,0,0.421901623
2022,2,1,0.354123472
2022,2,2,0.265558869
2022,3,0,0.545203696
2022,3,1,0.47183935
2022,3,2,0.375807567
2023,0,0,0.315481104
2023,0,1,0.267475245
2023,0,2,0.199429967
2023,1,0,0.357016805
2023,1,1,0.300343884
2023,1,2,0.225845247
2023,2,0,0.427087325
2023,2,1,0.357781625
2023,2,2,0.270077821
2023,3,0,0.545980183
2023,3,1,0.476683062
2023,3,2,0.379512223
2024,0,0,0.314845895
2024,0,1,0.266944523
2024,0,2,0.198935491
2024,1,0,0.356311263
2024,1,1,0.299849974
2024,1,2,0.225430853
2024,2,0,0.426274559
2024,2,1,0.357399145
2024,2,2,0.269622962
2024,3,0,0.545199637
2024,3,1,0.476008858
2024,3,2,0.379404889
